fid,field_1,Long,Lat,SAMPLE_1
"408","408",-91.186659,14.58242873,68661.921875
"409","409",-91.18600351,14.58270073,68661.921875
"410","410",-91.18731894,14.58268736,68661.921875
"411","411",-91.18759541,14.58332501,68661.921875
"412","412",-85.62260162,11.53110601,43270.0234375
"413","413",-85.6270964,11.53392862,42611.63671875
"414","414",-85.62616444,11.53838772,43283.046875
"415","415",-88.26824424,13.43499501,32592.39453125
"416","416",-88.26916282,13.43590467,33546.16015625
"417","417",-88.26851179,13.43563712,32592.39453125
"418","418",-88.26981831,13.43564158,32592.39453125
"419","419",-88.26920295,13.42596087,31638.662109375
"420","420",-88.26591659,13.43179338,32592.39453125
"421","421",-88.28882746,13.41590114,30684.9609375
"422","422",-88.27655155,13.43503068,32592.39453125
"423","423",-89.62740946,13.85583605,42725.12109375
"424","424",-89.62832358,13.85040932,41802.796875
"425","425",-89.62702152,13.85455629,42725.12109375
"426","426",-89.62898798,13.85519394,42725.12109375
"427","427",-89.62925999,13.85583159,42725.12109375
"428","428",-98.63479359,19.18120666,239507
"429","429",-98.64413986,19.19610898,238963.203125
"430","430",-98.62931335,19.19545349,237547.984375
"431","431",-98.65037815,19.18689648,240306.296875
"432","432",-98.64129496,19.14219399,242635.96875
"433","433",-98.62361462,19.16386076,239322.703125
"434","434",-98.64906717,19.17485245,240846.53125
"435","435",-98.64807725,19.18062698,240227.296875
"436","436",-97.25092049,19.03073876,111690.0078125
"437","437",-97.27228405,19.06239838,112270.3828125
"438","438",-97.24193986,19.05975413,109894.8125
"439","439",-97.29669763,19.05261957,115217.703125
"440","440",-97.26970669,19.00480463,114412.890625
"441","441",-97.2540597,19.01532365,112335.1484375
"442","442",-97.31576028,18.98371308,119780.2734375
"443","443",-98.61908417,19.02366216,249882.84375
"444","444",-98.6278909,19.04669788,248744.421875
"445","445",-98.61010354,19.04061121,247920.921875
"446","446",-98.64073757,19.03546095,250699.125
"447","447",-98.62525557,18.99637247,252475.546875
"448","448",-98.6147098,19.01302275,249793.875
"449","449",-98.6438634,19.00539323,253278.9375
"450","450",-98.66363059,19.02172691,253481.125
"451","451",-87.003991,12.7024851,35193.91015625
"452","452",-87.00582369,12.70340368,35976.03515625
"453","453",-87.00320619,12.70503125,35976.03515625
"454","454",-87.00906099,12.70572241,35381.31640625
"455","455",-87.00584152,12.70159774,35193.91015625
"456","456",-87.00518603,12.70185637,35193.91015625
"457","457",-87.00648809,12.70186529,35193.91015625
"458","458",-87.01503619,12.7025832,35381.31640625
"459","459",-91.90240268,15.04334371,67944.984375
"460","460",-91.90338815,15.04785186,68631.234375
"461","461",-91.90268361,15.04398136,67944.984375
"462","462",-91.90399904,15.04396352,67944.984375
"463","463",-91.90331234,15.0415244,67944.984375
"464","464",-91.89801047,15.03828263,68600.5546875
"465","465",-91.90658086,15.04010194,67944.984375
"466","466",-91.90984047,15.04325899,67295.7578125
"467","467",-122.7926284,50.12525784,61274.27734375
"468","468",-122.810085,50.13273599,60096.45703125
"469","469",-114.2978107,38.98517542,832716.8125
"470","470",-114.3134897,38.99212756,832644.4375
"471","471",-114.2993958,38.99607727,834680.1875
"472","472",-114.3162042,38.98784025,832644.4375
"473","473",-114.3154847,38.96065632,828718
"474","474",-114.3115737,38.98382636,831661.8125
"475","475",-114.3172984,38.98342268,831135.375
"476","476",-114.3184827,38.98602085,832118.625
"477","477",-122.5504914,50.74012519,153502.25
"478","478",-122.4505765,50.68295742,151845.09375
"479","479",-119.2323566,53.13713448,687490.4375
"480","480",-119.2675651,53.19265193,693451.6875
"481","481",-119.1452906,53.21127991,704145.1875
"482","482",-119.265353,53.05517926,672113.75
"483","483",-119.2251529,53.11239255,683395.875
